case_no,title,date,case_link,division,ponente,dispositive position,votes,Gesmundo,Leonen,Caguioa,Hernando,Lazaro-Javier,M. Lopez,Inting,Zalameda,Gaerlan,Rosario,J. Lopez,Dimaampao,Marquez,Kho,Singh
G.R. Nos. 251587-88,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. ROGELIO M. PIMENTEL AND HERMINIGILDO Q. REYES, ACCUSED-APPELLANTS.",6/15/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68430,THIRD DIVISION,GAERLAN,"Accordingly, accused-appellants Rogelio Maquinano Pimentel and Herminigildo Quico Reyes are ACQUITTED for failure of the prosecution to prove their guilt beyond reasonable doubt. SO ORDERED. "" Inting, Dimaampao, and Singh, JJ., concur. Caguioa, J., please see concurring opinion. "," "" Inting, Dimaampao, and Singh, JJ., concur. Caguioa, J., please see concurring opinion. ",,,C,,,,C,,P,,,C,,,C
G.R. Nos. 254957-58,"LILY C. LOPEZ, PETITIONER, VS. LOLITO S. LOPEZ, MA.* RACHEL** NICOLETTE LOPEZ, BARBARA VILLAS, BENEDICTO VILLAFUERTE, MA. LUISA PARAS, RUEL VILLACORTA, TERESITA C. FERNANDO, AND iSPECIALIST DEVELOPMENT CORPORATION, RESPONDENTS.   LOLITO S. LOPEZ, MARIO S. LOPEZ, ANDRESITO S. LOPEZ, BARBARA O. VILLAS, BENEDICTO L. VILLAFUERTE, MA. LUISA I. PARAS, RUEL S. VILLACORTA, TERESITA C. FERNANDO, LC LOPEZ RESOURCES, INC., AND CONQUEROR INTERNATIONAL, INC., RESPONDENTS.",6/15/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68395,FIRST DIVISION,ROSARIO,"premises considered, the petition at bar is hereby GRANTED. The Decision of the Court of Appeals in CA-G.R. SP Nos. 162134 and 162787 is hereby SET ASIDE. The Decisions of Branch 93 of the Regional Trial Court of Quezon City and Branch 273 of the Regional Trial Court of Marikina City are hereby REINSTATED in toto.SO ORDERED. Gesmundo, C.J. (Chairperson), Hernando, Zalameda, and Marquez, JJ., concur.* Spelled as ""Maria"" in other parts of the record.** Spelled as ""Rachael"" in other parts of the record."," Gesmundo, C.J. (Chairperson), Hernando, Zalameda, and Marquez, JJ., concur.* Spelled as ""Maria"" in other parts of the record.** Spelled as ""Rachael"" in other parts of the record.",C,,,C,,,,C,,P,,,C,,
G.R. No. 258077,"PEOPLE OF THE PHILIPPINES, PLAINTIFF-APPELLEE, VS. DONATO C. HERNANDEZ, ACCUSED-APPELLANT.",6/15/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68401,FIRST DIVISION,HERNANDO,"WHEREFORE, the appeal is GRANTED. The September 30, 2020 Decision of the Court of Appeals in CA-G.R. CR-HC No. 12463 is REVERSED and SET ASIDE. Accused-appellant Donato C. Hernandez is ACQUITTED of the crimes charged against him for failure of the prosecution to prove his guilt beyond reasonable doubt. He is ordered immediately RELEASED from detention, unless confined for any other lawful cause.Let a copy of this Decision be furnished to the Director General, Bureau of Corrections, Muntinlupa City, for immediate implementation. Furthermore, the Director General is DIRECTED to report to this Court the action taken hereon within five days from receipt of this Decision.Let an entry of judgment be issued immediately.SO ORDERED. Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur."," Gesmundo, C.J. (Chairperson), Zalameda, Rosario, and Marquez, JJ., concur.",C,,,P,,,,C,,C,,,C,,
G.R. No. 250776,"NANCY CLAIRE PIT CELIS, PETITIONER, VS. BANK OF MAKATI (A SAVINGS BANK), INC., RESPONDENT.",6/15/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68403,THIRD DIVISION,INTING,"WHEREFORE, the petition is GRANTED. The Decision dated June 7, 2019 and the Resolution dated December 6, 2019 of the Court of Appeals in CA-G.R. SP No. 158988 are REVERSED and SET ASIDE. The Decision dated July 13, 2018 and the Resolution dated October 26, 2018 of the National Labor Relations Commission in NLRC LAC No. 06-002270-18/NLRC Case No. NCR-02-02488-18 are hereby REINSTATED with MODIFICATION in that the total monetary award in favor of petitioner Nancy Claire Pit Celis shall earn legal interest at the rate of 6% per annum from the date of finality of this Decision until full satisfaction.The case is hereby REMANDED to the Labor Arbiter for the proper computation of the monetary awards.SO ORDERED. Caguioa (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur."," Caguioa (Chairperson), Gaerlan, Dimaampao, and Singh, JJ., concur.",,,C,,,,P,,C,,,C,,,C
G.R. No. 250013,"ARNALDO M. ESPINAS, PETITIONER, VS. OFFICE OF THE OMBUDSMAN, RESPONDENT.",6/15/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68421,SECOND DIVISION,"LOPEZ, J.","Accordingly, petitioner Arnaldo M. Espinas is ORDERED REINSTATED immediately to his former or equivalent position in the Local Water Utilities Administration without loss or diminution to his seniority rights, salaries, or benefits. He shall be paid his salary and such other emoluments corresponding to the period he was out of the service by reason of the judgment of dismissal as decreed by the Office of the Ombudsman and as affirmed by the Court of Appeals.SO ORDERED. Leonen, SAJ. (Chairperson), M. Lopez, and Kho, Jr., JJ., concur.Lazaro-Javier, J., on official leave.* On official leave."," Leonen, SAJ. (Chairperson), M. Lopez, and Kho, Jr., JJ., concur.Lazaro-Javier, J., on official leave.* On official leave.",,C,,,OL,C,,,,,P,,,C,
A.M. No. SB-22-001-P (Formerly OCA IPI No. 15-34-SB-P),"LEGAL RESEARCH AND TECHNICAL STAFF, SANDIGANBAYAN, COMPLAINANT, VS. SECURITY GUARD II FERDINAND PONCE AND SECURITY GUARD I RONALD ALLAN GOLE CRUZ, BOTH OF THE SHERIFF AND SECURITY SERVICES DIVISION, SANDIGANBAYAN, RESPONDENTS.",6/20/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68452,SECOND DIVISION,KHO,"ACCORDINGLY, the Court rules as follows: (1) Respondent Ferdinand Ponce, Security Guard II of Sheriff and Security Services Division, Sandiganbayan, is hereby found GUILTY of simple neglect of duty. He is ordered to pay a FINE in the amount of P18,000.00; and (2) Respondent Ronald Allan Gole Cruz, formerly a Security Guard I of the Sheriff and Security Services Division, Sandiganbayan, is hereby found GUILTY of simple neglect of duty. He is ordered to pay a FINE in the amount of P40,000.00. SO ORDERED. Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and J. Lopez, JJ., concur. "," Leonen, SAJ. (Chairperson), Lazaro-Javier, M. Lopez, and J. Lopez, JJ., concur. ",,C,,,C,C,,,,,C,,,P,
G.R. No. 231238,"LIGHT RAIL TRANSIT AUTHORITY, PETITIONER, VS. BUREAU OF INTERNAL REVENUE, REPRESENTED BY THE COMMISSIONER OF INTERNAL REVENUE, RESPONDENTS.",6/20/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68411,SECOND DIVISION,LEONEN,"WHEREFORE, the Petition for Review on Certiorari is GRANTED. The Decision and Resolution of the Court of Tax Appeals En Banc in CTA EB No. 1325 (CTA Case No. 8891) are REVERSED and SET ASIDE. The case is REMANDED to the Court of Tax Appeals for a decision on the Light Rail Transit Authority's Petition for Review on the merits.SO ORDERED. Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,P,,,C,C,,,,,C,,,C,
G.R. No. 254800,"BRYAN TA-ALA Y CONSTANTINO, PETITIONER, VS. PEOPLE OF THE PHILIPPINES, RESPONDENT.",6/20/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68419,SECOND DIVISION,LAZARO-JAVIER,"ACCORDINGLY, the Petition is GRANTED. The Decision dated May 9, 2019 and Resolution dated January 30, 2020 of the Court of Appeals in CA-G.R. SP No. 10697 and CA-G.R. SP No. 10873 are REVERSED and SET ASIDE.The Resolution dated August 22, 2016 and Resolution dated September 13, 2016 of the Department of Justice through Assistant State Prosecutor Michael A. Vito Cruz in NPS Docket No. XVI-INQ-16H-00110 are likewise REVERSED and SET ASIDE.The following criminal cases filed against petitioner BRYAN TA-ALA y CONSTANTINO are DISMISSED WITH PREJUDICE: a) People of the Philippines v. Bryan Ta-Ala y Constantino before the Regional Trial Court for Negros Occidental, Bacolod City, Branch 46, Criminal Case No. 16-43163 for violation of Section 28, Republic Act No. 10591 for illegal possession of firearm and ammunitions; and b) People of the Philippines v. Bryan Ta-Ala y Constantino before the Regional Trial Court for Negros Occidental, Bacolod City, Branch 54, Criminal Case No. 16-43487 for violation of Section 33, Republic Act No. 10591 for illegal importation of firearm accessories. The Chief of the Bureau of Jail Management and Penology is ordered to immediately release petitioner Bryan Ta-Ala y Constantino unless he is being held in custody for some other lawful cause. He is further directed to report to the Court the action he has taken within five (5) days from notice.Let entry of judgment be immediately issued.SO ORDERED. Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Leonen, SAJ. (Chairperson), M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,C,,,P,C,,,,,C,,,C,
G.R. No. 217866,"SOCIAL SECURITY SYSTEM, PETITIONER, VS. VIOLETA A. SIMACAS, RESPONDENT.",6/20/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68420,SECOND DIVISION,LEONEN,"WHEREFORE, the Petition is DENIED. The Court of Appeals' August 29, 2014 Decision and April 8, 2015 Resolution in CA-G.R. SP No. 126890 are hereby affirmed.SO ORDERED. Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur."," Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur.",,P,,,C,C,,,,,C,,,C,
G.R. No. 207078,"REPUBLIC OF THE PHILIPPINES, REPRESENTED BY THE ANTI-MONEY LAUNDERING COUNCIL, PETITIONER, VS. ROBERTO V. ONGPIN, JOSEPHINE A. MANALO, MA. LOURDES A. TORRES, DELTAVENTURE RESOURCES, INC., GOLDENMEDIA CORPORATION, BOERSTAR CORPORATION, COMPACT HOLDINGS, INC., ELKHOUND RESOURCES, INC., REYNALDO G. DAVID, MIGUEL L. ROMERO, PATRICIA A. STO. TOMAS, RAMON R. DURANO IV, FRANKLIN M. VELARDE, RENATO S. VELASCO, EDGARDO F. GARCIA, ROLANDO S.C. GERONIMO, PERLA S. SOLETA, BENEDICTO ERNESTO R. BITONIO, JR., JESUS S. GUEVARA II, CRESENCIANA R. BUNDOC, ARMANDO O. SAMIA, MA. TERESITA S. TOLENTINO, RODOLFO C. CEREZO, BANCO DE ORO UNIBANK, INC., HONGKONG & SHANGHAI BANKING CORPORATION, PHILIPPINE BANK OF COMMUNICATIONS, BANK OF THE PHILIPPINE ISLANDS, BPI FAMILY SAVINGS BANK, BANK OF COMMERCE, DEVELOPMENT BANK OF THE PHILIPPINES, SECURITY BANK CORPORATION, UNION BANK OF THE PHILIPPINES, EXPORT AND INDUSTRY BANK (THROUGH THE PHILIPPINE DEPOSIT INSURANCE CORPORATION), ROBINSONS SAVINGS BANK, AIR MATERIEL WING SAVINGS AND LOAN ASSOCIATION, INC., STANDARD CHARTERED BANK, METROPOLITAN BANK AND TRUST COMPANY, CITIBANK, N.A., CITICORP FINANCIAL SERVICES AND INSURANCE BROKERAGE PHILIPPINES, INC., AIG PHILAM SAVINGS BANK, PHILAM STRATEGIC GROWTH FUND, INC., CITYSTATE SAVINGS BANK, RIZAL COMMERCIAL BANKING CORPORATION, AND EASTWEST BANKING CORPORATION, RESPONDENTS.",6/20/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68468,SECOND DIVISION,LEONEN,"WHEREFORE, the Petition for Review on Certiorari is DENIED. The May 7, 2013 Resolution of the Court of Appeals in CA-G.R. AMLC No. 00066 is AFFIRMED. The Freeze Order, except as to Boerstar Corporation's Bank of Commerce Account No. 900000028241, is LIFTED. SO ORDERED. Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur. "," Lazaro-Javier, M. Lopez, J. Lopez, and Kho, Jr., JJ., concur. ",,P,,,C,C,,,,,C,,,C,
G.R. No. 239936,"NATIONAL HOUSING AUTHORITY (NHA), REPRESENTED HEREIN BY ITS GENERAL MANAGER, MARCELINO P. ESCALADA, JR., FROILAN R. KAMPITAN, ELVIRA A. SABADO, WILMA D. HERNANDEZ, FE P. VALENZUELA, PRUDENCIA B. GUGOL, RAYMOND N. ABAD, JEANETTE I. BACCAY, DANILO GONZALES, ALEJANDRO A. NUEVAS, EVELYN BALAIS, AVELINA LLEVA, MA. MELANI ABASOLA, AND ALL RANK­-AND-FILE EMPLOYEES OF NHA, REPRESENTED HEREIN BY EVANGELINE A. JAVIER, PRESIDENT OF THE CONSOLIDATED UNION OF EMPLOYEES OF NHA (CUE) PETITIONERS, VS. THE COMMISSION ON AUDIT, REPRESENTED BY MICHAEL G. AGUINALDO, IN HIS CAPACITY AS THE CHAIRPERSON; MARY S. ADELINO, IN HER CAPACITY AS DIRECTOR, CLUSTER II-CORPORATE GOVERNMENT SECTOR OF THE COMMISSION ON AUDIT; JANET B. REYES, IN HER CAPACITY AS AUDIT TEAM LEADER; AND REBECCA A. DUMAGUIT, IN HER CAPACITY AS SUPERVISING AUDITOR, RESPONDENTS.  [G.R. No. 252584]  NATIONAL HOUSING AUTHORITY, PETITIONER, VS. COMMISSION ON AUDIT, RESPONDENT.",6/21/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68467,EN BANC,ROSARIO,"WHEREFORE, premises considered, the consolidated petitions are hereby DISMISSED for lack of merit. The decision dated January 26, 2018 of the Commission on Audit is AFFIRMED in toto. The approving and certifying officers are solidarily liable for the return of the disallowed amounts in accordance with the notices of disallowance, while the payee-recipients are individually liable for the return of the amounts they respectively received.SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur."," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Lazaro-Javier, Inting, Zalameda, M. Lopez, Gaerlan, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur.",C,C,C,C,C,C,C,C,C,P,C,C,C,C,C
G.R. No. 246027,"SECURITIES AND EXCHANGE COMMISSION, PETITIONER, VS. 1ACCOUNTANTS PARTY-LIST, INC., REPRESENTED BY ITS PRESIDENT, CHRISTIAN JAY D. LIM, CHRISTIAN JAY D. LIM IN HIS CAPACITY AS CPA, FROILAN G. AMPIL, ALLAN M. BASARTE, VIRGILIO F. AGUNOD, AND JONAS P. MASCARIÑAS, RESPONDENTS.",6/21/22,https://elibrary.judiciary.gov.ph/thebookshelf/showdocs/1/68463,EN BANC,ROSARIO,"WHEREFORE, the present petition for review on certiorari is DENIED. The Decision dated March 20, 2018 of the Regional Trial Court (RTC), Davao City, Branch 15, in Civil Case No. R-DVO-15-02294-SC is AFFIRMED. Paragraph 3, Rule 68 of the IRR of the SRC and SEC MC No. 13-2009 are declared null and void. SO ORDERED. Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Inting, Zalameda, M. Lopez, Gaerlan, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Lazaro-Javier, J., see concurrence. "," Gesmundo, C.J., Leonen, SAJ., Caguioa, Hernando, Inting, Zalameda, M. Lopez, Gaerlan, J. Lopez, Dimaampao, Marquez, Kho, Jr., and Singh, JJ., concur. Lazaro-Javier, J., see concurrence. ",C,C,C,C,C,C,C,C,C,P,C,C,C,C,C
